prix,kilometrage,couleur_du_vehicule,etat_du_vehicule,boite,annee,cylindree,marque,modele,puissance_fiscale,type_de_carrosserie,carburant,kilometrage_log
10.505094936455558,180000.0,Blanc,Avec kilométrage,manuelle,2010.0,1.6,bmw,serie 1,7.0,Compacte,Essence,12.100717685412471
11.034905792929415,118000.0,Noir,Avec kilométrage,automatique,2018.0,1.2,volkswagen,golf 7,6.0,Berline,Essence,11.678448377988165
10.668978650219241,180000.0,Noir,Avec kilométrage,automatique,2012.0,1.8,audi,a4,7.0,Berline,Essence,12.100717685412471
11.251573687764477,116000.0,Noir,Avec kilométrage,automatique,2021.0,1.5,chery,tiggo,9.0,Berline,Essence,11.661354090741
11.461642696843066,70000.0,Noir,Avec kilométrage,automatique,2021.0,1.6,kia,sportage,11.0,4 x 4,Essence,11.156264806643742
11.211833885608513,77000.0,Noir,Avec kilométrage,automatique,2015.0,2.0,bmw,serie 3,10.0,Berline,Essence,11.251573687764477
12.301387370778713,45000.0,Gris,Avec kilométrage,automatique,2022.0,1.5,mercedes-benz,classe c,9.0,Berline,Essence,10.714439990727769
11.225256725762893,90000.0,Bleu,Avec kilométrage,automatique,2023.0,0.8,seat,ibiza,6.0,Compacte,Essence,11.407576060361786
10.933124826700707,161002.0,Blanc,Nouveau,automatique,2020.0,1.5,mg,zs,7.0,Compacte,Essence,11.989178277333371
10.477316144080852,357000.0,Gris,Avec kilométrage,manuelle,2004.0,2.2,nissan,x-trail,9.0,4 x 4,Diesel,12.785493861878301
10.566201298475118,160000.0,Noir,Avec kilométrage,manuelle,2020.0,1.2,renault,clio,5.0,Compacte,Essence,11.982935344196433
11.350418300109132,146000.0,Noir,Avec kilométrage,automatique,2018.0,1.6,mercedes-benz,classe cla,7.0,Berline,Essence,11.891368749982085
11.507922973347437,146000.0,Noir,Avec kilométrage,automatique,2015.0,1.6,land rover,range rover evoque,8.0,Berline,Essence,11.891368749982085
11.48247656671073,13900.0,Noir,Avec kilométrage,automatique,2024.0,1.6,mg,inconnu,7.0,4 x 4,Essence,9.539716058977092
12.07254696717504,196000.0,Gris,Avec kilométrage,automatique,2016.0,5.0,land rover,range rover sport,43.0,4 x 4,Essence,12.185875040240456
10.518700218288165,124000.0,Noir,Avec kilométrage,manuelle,2016.0,1.9,citroen,c4 cactus,5.0,Compacte,Essence,11.728044909070785
10.463046195981693,218000.0,Noir,RS,manuelle,2010.0,1.6,volkswagen,passat,7.0,Monospace,Essence,12.292254928916668
11.134603622683905,132000.0,Blanc,Nouveau,manuelle,2018.0,1.2,nissan,qashqai,6.0,4 x 4,Essence,11.790564777297387
10.32551474894327,80000.0,Gris,Avec kilométrage,automatique,2018.0,1.2,peugeot,208,5.0,Berline,Essence,11.289794413577894
10.308985993422082,380.0,Gris,Avec kilométrage,automatique,2011.0,1.6,peugeot,508,6.0,Berline,Diesel,5.942799375126701
10.668978650219241,80000.0,Blanc,Avec kilométrage,manuelle,2022.0,1.2,citroen,c35,5.0,Berline,Essence,11.289794413577894
10.404293143019792,55480.0,Argent,Avec kilométrage,manuelle,2021.0,3.0,toyota,aygo,4.0,Autres,Essence,10.923795898779666
10.505094936455558,160000.0,Gris,Avec kilométrage,manuelle,2022.0,1.2,hyundai,i 10,5.0,Berline,Essence,11.982935344196433
10.203629181337648,98000.0,Blanc,Avec kilométrage,manuelle,2019.0,1.2,peugeot,208,4.0,Compacte,Essence,11.49273296168228
13.815511557963774,106000.0,Blanc,Avec kilométrage,automatique,2021.0,1.6,kia,sportage,7.0,Monospace,Diesel,11.571203807011969
13.815511557963774,200.0,Gris,Nouveau,manuelle,2018.0,1.2,renault,clio,5.0,Compacte,Essence,5.303304908059076
10.428245666832275,168.0,Marron,Avec kilométrage,manuelle,2014.0,0.8,renault,capture,6.0,Autres,Essence,5.1298987149230735
13.815511557963774,140.0,Orange,Nouveau,manuelle,2022.0,1.5,dacia,duster,6.0,Compacte,Diesel,4.948759890378168
10.434145214930487,278000.0,Gris,Avec kilométrage,manuelle,2010.0,1.6,volkswagen,golf 6,5.0,Compacte,Diesel,12.535379989788607
10.043292972227004,216000.0,Gris,RS,manuelle,2000.0,1.9,renault,scenic,6.0,Monospace,Diesel,12.283038316285214
11.51293546492023,129000.0,Blanc,Non dédouanné,automatique,2022.0,2.4,toyota,hilux,8.0,Pick up,Diesel,11.767575435251748
10.32551474894327,80000.0,Gris,Avec kilométrage,automatique,2018.0,1.2,peugeot,208,5.0,Berline,Essence,11.289794413577894
13.815511557963774,105000.0,Gris,Avec kilométrage,manuelle,2019.0,1.2,peugeot,301,5.0,Berline,Essence,11.561725152903833
11.373674891823535,110000.0,Noir,Nouveau,automatique,2021.0,1.5,peugeot,3008,7.0,4 x 4,Diesel,11.608244735642321
10.268165387743457,157000.0,Blanc,Avec kilométrage,manuelle,2015.0,1.2,ford,fiesta,5.0,Berline,Essence,11.964007453736912
9.928228944424575,200.0,Gris,Nouveau,manuelle,2006.0,1.6,renault,megane,6.0,Compacte,Diesel,5.303304908059076
9.648659816955295,277100.0,Gris,Avec kilométrage,manuelle,2001.0,0.8,volkswagen,polo,4.0,Compacte,Essence,12.532137339650044
12.37581963951765,11000.0,Blanc,Non dédouanné,automatique,2024.0,2.0,mercedes-benz,classe cla,110.0,Berline,Diesel,9.305741456739435
11.314486721293981,145000.0,Noir,Avec kilométrage,automatique,2021.0,1.5,peugeot,3008,7.0,Berline,Diesel,11.884495917930655
9.852246888342531,400000.0,Blanc,Avec kilométrage,manuelle,2019.0,1.2,fiat,fiorino,5.0,Utilitaire,Diesel,12.899222326086994
9.989711119284745,260000.0,Noir,Avec kilométrage,manuelle,2006.0,1.5,renault,megane,6.0,Autres,Diesel,12.468440756144114
9.989711119284745,260000.0,Noir,Avec kilométrage,manuelle,2006.0,1.5,renault,megane,6.0,Autres,Diesel,12.468440756144114
10.799595985047786,330000.0,Noir,Avec kilométrage,automatique,2007.0,3.0,mercedes-benz,classe ml,13.0,4 x 4,Diesel,12.706850963741102
10.518700218288165,200000.0,Autre,RS,manuelle,2018.0,1.5,mazda,2,6.0,Autres,Essence,12.206077645517674
9.952325334619427,666106.5599999882,Blanc,Pièces manquantes,manuelle,1996.0,2.5,opel,omega,7.0,Autres,Diesel,13.409206437984047
11.326607934898927,71000.0,Gris,Avec kilométrage,manuelle,2022.0,1.1,volkswagen,t-roc,6.0,4 x 4,Essence,11.170449240431308
11.302216779257382,69000.0,Gris,Avec kilométrage,manuelle,2021.0,1.1,volkswagen,golf 8,5.0,Berline,Essence,11.141876276228
11.338583982516495,89000.0,Noir,Avec kilométrage,automatique,2022.0,1.1,volkswagen,golf 8,6.0,4 x 4,Essence,11.39640288460621
11.251573687764477,79000.0,Blanc,Avec kilométrage,manuelle,2021.0,1.1,volkswagen,golf 8,5.0,Berline,Essence,11.277215789596893
11.251573687764477,94000.0,Blanc,Avec kilométrage,manuelle,2020.0,1.6,hyundai,i 30,6.0,Berline,Diesel,11.451060699493427
13.815511557963774,394.0,Bleu,Avec kilométrage,manuelle,1991.0,0.8,renault,super 5,4.0,Autres,Essence,5.978885764901122
10.25769445336048,220.0,Gris,Avec kilométrage,manuelle,2013.0,1.2,volkswagen,polo,5.0,Compacte,Essence,5.3981627015177525
11.6172944892629,157000.0,Blanc,Nouveau,manuelle,2017.0,1.2,seat,leon,6.0,Berline,Essence,11.964007453736912
9.61587214452889,290000.0,Gris,Avec kilométrage,manuelle,1995.0,2.8,bmw,serie 5,13.0,Berline,Essence,12.577639650232573
10.819798284210286,170000.0,Marron,Nouveau,automatique,2013.0,1.2,bmw,serie 1,5.0,Autres,Essence,12.04355959836804
10.043292972227004,250000.0,Noir,Avec kilométrage,manuelle,2018.0,1.6,dacia,dokker,5.0,Utilitaire,Diesel,12.429220196836383
10.540090836284206,222000.0,Gris,Avec kilométrage,manuelle,2014.0,1.4,volkswagen,polo,5.0,Berline,Essence,12.310437165348775
10.714439990727769,12345.0,Noir,Nouveau,automatique,2008.0,2.2,mercedes-benz,classe e,8.0,Berline,Diesel,9.421087402953841
10.714439990727769,1234.0,Noir,Nouveau,automatique,2008.0,2.2,mercedes-benz,classe e,8.0,Berline,Diesel,7.118826249062078
10.714439990727769,1234.0,Noir,Nouveau,automatique,2008.0,2.2,mercedes-benz,classe e,8.0,Berline,Diesel,7.118826249062078
10.571342565808699,166.0,Bleu,Avec kilométrage,automatique,2015.0,1.5,ford,focus,8.0,Compacte,Essence,5.117993812416755
10.463131911491967,130000.0,Beige,Avec kilométrage,manuelle,2015.0,1.5,nissan,sunny,6.0,Berline,Essence,11.775297421715827
11.141876276228,112000.0,Noir,Nouveau,automatique,2016.0,1.9,bmw,serie 1,7.0,Berline,Essence,11.626263078808801
9.305741456739435,250000.0,Gris,Avec kilométrage,manuelle,2004.0,0.8,fiat,palio,4.0,Autres,Essence,12.429220196836383
9.798182590890704,300.0,Noir,Avec kilométrage,manuelle,2004.0,1.5,renault,grand scenic,5.0,Autres,Diesel,5.707110264748875
10.434145214930487,181.0,Gris,Nouveau,manuelle,2015.0,1.4,hyundai,accent,6.0,Berline,Essence,5.204006687076795
10.203629181337648,248000.0,Noir,Avec kilométrage,manuelle,2010.0,1.2,renault,symbol,5.0,Berline,Essence,12.421188057397055
10.714439990727769,58000.0,Blanc,Avec kilométrage,manuelle,2021.0,1.8,citroen,berlingo,5.0,Utilitaire,Diesel,10.968215530759236
13.815511557963774,114500.0,Gris,Avec kilométrage,manuelle,2019.0,1.4,renault,symbol,5.0,Berline,Essence,11.648338835562747
10.736418414365376,150000.0,Bleu,Avec kilométrage,manuelle,2020.0,1.1,ford,fiesta,8.0,Autres,Essence,11.918397239722838
10.859018228147887,221000.0,Noir,Nouveau,automatique,2013.0,2.5,mitsubishi,l200,10.0,4 x 4,Diesel,12.30592250537653
10.687411927154141,120000.0,Blanc,Avec kilométrage,manuelle,2022.0,0.8,renault,clio,4.0,Autres,Essence,11.695255355062795
10.591647316585027,79000.0,Gris,Avec kilométrage,manuelle,2018.0,1.2,kia,picanto,5.0,inconnu,Essence,11.277215789596893
10.661977618146238,82000.0,Gris,Avec kilométrage,manuelle,2018.0,1.2,hyundai,i 20,5.0,inconnu,Essence,11.314486721293981
10.491301994830229,110000.0,Noir,Avec kilométrage,manuelle,2017.0,1.2,peugeot,2008,5.0,inconnu,Essence,11.608244735642321
13.815511557963774,119000.0,Bleu,Avec kilométrage,manuelle,2016.0,1.2,peugeot,2008,5.0,inconnu,Essence,11.686887175419702
13.815511557963774,570000.0,Noir,Avec kilométrage,manuelle,1996.0,2.5,isuzu,landwind,10.0,4 x 4,Diesel,13.25339339419516
10.571342565808699,77000.0,Gris,Avec kilométrage,manuelle,2023.0,1.6,wallyscar,719,7.0,Berline,Essence,11.251573687764477
9.61587214452889,303000.0,Blanc,Avec kilométrage,manuelle,2005.0,1.6,fiat,siena,5.0,Berline,Essence,12.621491384816093
10.491301994830229,102000.0,Blanc,Avec kilométrage,manuelle,2021.0,1.5,fiat,doblo,5.0,Utilitaire,Diesel,11.532737896139919
10.184937747111391,221000.0,Autre,Avec kilométrage,manuelle,2015.0,1.2,ford,ka,4.0,Autres,Essence,12.30592250537653
10.184937747111391,221000.0,Autre,Avec kilométrage,manuelle,2015.0,1.2,ford,ka,4.0,Autres,Essence,12.30592250537653
10.680539205318292,257000.0,Noir,Avec kilométrage,manuelle,2008.0,2.1,mercedes-benz,classe c,8.0,Autres,Diesel,12.456835254920371
10.87806606028079,178000.0,Autre,Avec kilométrage,automatique,2010.0,2.1,mercedes-benz,classe e,11.0,Autres,Essence,12.08954444723597
10.571342565808699,160000.0,Autre,Avec kilométrage,manuelle,2017.0,1.2,kia,rio,5.0,Autres,Essence,11.982935344196433
11.082157933374816,190000.0,Gris,Avec kilométrage,automatique,2015.0,1.4,volkswagen,tiguan,9.0,Autres,Essence,12.154784614286667
11.350418300109132,130000.0,Gris,Avec kilométrage,manuelle,2019.0,1.6,kia,sportage,8.0,4 x 4,Diesel,11.775297421715827
10.799595985047786,253000.0,Blanc,Avec kilométrage,automatique,2010.0,2.5,volkswagen,touareg,13.0,4 x 4,Diesel,12.441148720271016
11.112462823634855,295000.0,Noir,Avec kilométrage,automatique,2011.0,3.5,mercedes-benz,classe glk,15.0,4 x 4,Diesel,12.59473402514672
10.513280297700861,100000.0,Gris,Avec kilométrage,manuelle,2022.0,1.2,hyundai,i 10,5.0,Berline,Essence,11.51293546492023
11.184435286790631,42580.0,Gris,Avec kilométrage,automatique,2013.0,2.0,kia,optima,11.0,Berline,Essence,10.659163423376018
10.87806606028079,215000.0,Noir,Avec kilométrage,automatique,2010.0,1.6,mercedes-benz,classe c,9.0,Berline,Essence,12.278397958261774
11.082157933374816,140000.0,Gris,Avec kilométrage,automatique,2013.0,1.8,mercedes-benz,classe c,12.0,Berline,Essence,11.849404844423074
10.463131911491967,168000.0,Noir,Avec kilométrage,manuelle,2010.0,1.2,audi,a2,500.0,Compacte,Essence,12.031725210748633
9.210440366976517,187.0,Gris,inconnu,manuelle,2022.0,1.2,toyota,inconnu,5.0,inconnu,Essence,5.236441962829949
13.815511557963774,19000.0,Blanc,Avec kilométrage,automatique,2021.0,1.4,volkswagen,tiguan,8.0,4 x 4,Hybride essence,9.852246888342531
13.815511557963774,41000.0,Gris,Avec kilométrage,automatique,2021.0,1.4,mercedes-benz,classe b,8.0,Berline,Hybride essence,10.62135173563291
13.815511557963774,65000.0,Blanc,Avec kilométrage,automatique,2021.0,2.0,mercedes-benz,classe gle,11.0,4 x 4,Hybride Diesel,11.082157933374816
10.448743588106625,196000.0,Blanc,Avec kilométrage,manuelle,2016.0,1.2,kia,rio,5.0,Berline,Essence,12.185875040240456
11.225256725762893,240000.0,Rouge,Avec kilométrage,automatique,2014.0,2.2,land rover,range rover evoque,11.0,4 x 4,Diesel,12.388398368982115
10.308985993422082,238000.0,Blanc,Nouveau,manuelle,2014.0,1.6,citroen,berlingo,6.0,Pick up,Diesel,12.380030154325457
11.661354090741,99500.0,Blanc,Nouveau,automatique,2025.0,1.5,mercedes-benz,classe a,6.0,Berline,Diesel,11.507922973347437
9.210440366976517,200.0,Gris,Nouveau,manuelle,2007.0,1.2,peugeot,206+,4.0,Autres,Essence,5.303304908059076
